Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
VDAC3	0.09132	1.6682	-0.033461	1.4941	0.03415	-0.23983	-0.17182	-0.31718	-1.8093	-0.71621
NDUFAF3	0.49622	1.3768	-0.20237	1.185	-0.71634	0.52088	0.58018	-0.75448	-1.8055	-0.68033
NDUFAF4	0.64386	1.1957	-0.025066	1.3977	-0.21649	0.37389	0.29278	-0.83508	-1.7561	-1.0713
BRPF1	0.24691	0.56373	-0.19058	1.5496	-0.23541	-0.08419	-0.32067	0.96583	-2.2407	-0.2546
CEP89	-0.31844	1.4244	-0.10925	1.8028	-0.23189	-0.38529	-0.52645	0.45487	-1.6444	-0.4664
EEA1	-0.21366	0.86992	-0.50429	0.6664	0.2127	1.1535	0.20127	0.68048	-2.2109	-0.85543
STX8	0.4239	0.74483	-0.59635	1.2957	0.13694	0.76856	-0.28622	0.57692	-2.0381	-1.0262
MBLAC2	-0.086567	1.6143	-1.4086	1.3783	-0.048247	0.25757	0.1902	-0.01888	-1.502	-0.3761
RAB7L1	-0.66121	1.4223	-1.3198	1.7252	-0.37398	-0.13638	0.60393	-0.0071443	-1.1332	-0.11971
ALG9	0.10594	0.95752	-0.61884	0.5024	0.45821	1.6706	0.40971	-1.4806	-1.1842	-0.82075
POC1B	-0.17823	0.3965	-0.47101	0.98805	0.93692	1.5756	-0.15128	-1.1973	-1.6541	-0.24511
CEP44	-0.45956	1.2429	-1.0713	1.2325	0.34627	1.0028	0.54078	-1.5097	-0.62646	-0.69827
RHOG	-0.45274	1.0899	-0.44883	1.0049	-0.074917	1.406	0.30401	-1.8456	-0.95618	-0.026478
APBA3	-0.46645	0.95345	0.14673	0.6293	-0.58012	1.5423	1.0437	-1.0007	-0.93708	-1.3311
TMEM131	0.091566	1.3184	-0.12045	0.7589	-0.77852	1.2621	0.79481	-1.0803	-0.857	-1.3895
G6PC3	-0.43636	1.4105	-0.09968	1.1259	-0.75875	1.3532	0.28256	-0.51566	-1.1553	-1.2063
NDUFAF2	-0.0091919	1.5789	-0.072698	0.77404	-0.5114	1.0749	0.38494	-0.32575	-1.2977	-1.5961
APLP2	0.8527	-0.16591	-0.43467	1.6248	-1.1572	1.6003	-0.76725	-0.7901	-0.46076	-0.30193
NUP88	0.69903	-0.0034025	-0.89876	1.571	-0.94678	1.2992	-0.85723	-0.95271	-0.66394	0.7536
BMP2K	-0.077622	0.25217	-0.36748	1.9317	-0.49207	1.2898	-0.50976	-1.3958	-0.92828	0.29735
RP2	0.042194	0.8086	-0.40803	1.8199	-0.55544	1.2411	-0.26378	-1.0477	-1.3235	-0.31335
PIBF1	0.21803	0.22841	-0.56659	2.3439	-0.89216	0.87138	-0.087006	-0.75482	-0.79595	-0.56517
TBC1D2	0.19838	-0.58097	-0.30958	2.0758	-1.3006	1.2861	-0.025505	-0.61508	-0.70216	-0.026442
TOP3A	0.8237	-0.057981	-0.76426	2.1296	-0.78633	0.39742	0.11931	-1.2422	-0.89003	0.27083
EGLN1	-0.47426	0.63388	0.44751	1.1338	-1.0209	0.68175	0.37704	-2.0735	-0.5218	0.81649
TMPO	0.27044	0.46575	0.72518	1.1699	-1.7082	0.89355	0.27832	-1.5781	-0.70415	0.18736
NUP188	1.136	0.63152	-0.63753	0.99421	-1.0284	0.80184	-0.11129	-1.7062	-0.84275	0.76261
NUP54	0.45513	0.72519	-0.023817	1.6855	-1.2716	0.64282	-0.097766	-1.8255	-0.069223	-0.22083
NUP62	0.58454	0.58457	-0.4583	1.5389	-1.544	1.0839	0.006447	-1.3369	-0.60813	0.14897
APOB	1.0692	-0.84943	0.014705	1.7119	-0.52602	1.3383	-1.0076	-0.80093	-0.35519	-0.59492
GPBP1	1.1805	-1.082	0.68013	1.2462	-0.034144	1.2819	-1.082	-0.70215	-0.69931	-0.78917
IRAK2	0.40196	-0.92288	0.691	1.6546	0.017248	1.3043	-0.9495	-0.64551	-0.25199	-1.2993
SLK	0.89393	-1.0735	0.055348	1.7549	0.19209	1.0922	-0.49759	-0.9068	-0.24272	-1.2678
COPRS	-0.23967	-1.4093	0.27661	1.4764	0.23983	1.6738	-0.60721	0.036686	-0.26318	-1.184
GSTO1	0.27536	-1.3017	0.11101	1.4761	0.13016	1.8224	-0.78681	-0.36164	-0.58478	-0.78015
XRCC4	0.54454	-1.3791	0.77996	1.5115	-0.12701	0.94782	-1.314	0.31866	-0.22649	-1.0559
APOC3	1.4802	-0.60391	-0.56326	1.5196	-0.72985	1.2248	-0.45298	-0.36576	-0.362	-1.1468
NDFIP2	1.1768	-0.4713	-0.078233	1.6384	-0.87657	1.2199	-0.80142	-0.27157	-0.24344	-1.2926
APOE	1.1607	-1.3045	0.28575	1.865	-0.51568	0.69062	-0.52267	-0.27066	-0.2833	-1.1053
ITM2B	0.45755	-0.35014	-0.19867	2.1162	-0.95853	1.1113	-1.0675	0.012946	-0.22535	-0.89775
SLC7A1	0.56072	-0.24285	-0.36453	2.0672	-0.7715	1.0945	-1.3627	-0.40364	0.058675	-0.63576
KEAP1	0.63012	-0.085356	0.24512	2.0225	-0.81299	0.75962	-1.125	-0.42587	0.1136	-1.3218
UBTD2	0.85435	-0.25901	-0.12668	1.8969	-0.045394	0.87252	-1.1699	-0.41215	-0.10177	-1.5089
CDC23	0.98338	-0.055815	0.68068	1.2658	-0.68717	1.3123	-1.3804	-0.47569	-1.2013	-0.44174
KCT2	0.72986	0.25327	0.61492	1.0582	-0.1866	1.3761	-1.8678	-0.38054	-0.6152	-0.98218
TMEM185B	0.75206	-0.16356	0.20582	1.2892	-0.013388	1.4377	-1.8223	-0.066219	-0.80818	-0.81109
DNAL1	0.71991	0.098959	0.3817	1.5387	-0.24762	0.75678	-1.6479	0.54531	-1.142	-1.0037
ERBB2IP	0.73558	0.80614	0.93662	1.1338	-0.62955	0.74075	-1.5741	-0.91531	-1.1757	-0.058308
GOLGA7	0.72732	0.54926	0.59859	1.9646	-0.37481	0.23355	-1.2677	-0.74919	-1.1359	-0.54573
ATRAID	1.9809	-0.63033	-0.5686	1.59	-0.14358	0.16971	-0.56795	-0.13673	-0.88512	-0.80827
SIX2	1.4976	-0.50878	0.26963	1.9396	-0.31891	0.13098	-0.94975	-0.3237	-0.7458	-0.99084
RCN3	2.2254	-0.57821	0.32528	1.2142	-0.43401	-0.10827	-0.9957	-0.57393	-0.4055	-0.66925
LIG4	1.3261	-1.0131	-0.46029	1.8745	-0.29695	0.65672	-0.63764	-1.1549	0.15792	-0.45234
PMS1	1.5842	-1.3494	0.28144	1.3853	0.27607	0.35056	-0.64577	-1.3822	-0.15066	-0.3495
CHD1	1.6982	0.51433	-0.43722	0.84848	0.83169	0.43399	-0.63457	-1.015	-1.3636	-0.8763
DHDDS	1.4222	0.22058	-0.40242	1.7338	0.44062	0.16375	-0.48735	-1.037	-0.78484	-1.2693
NUS1	1.3393	-0.017733	-0.16753	1.9949	0.1464	0.12446	-0.50578	-1.1823	-0.80269	-0.92909
CALCOCO1	-0.96392	-0.58408	0.4182	2.3225	-0.83359	0.64275	-0.84928	0.36282	-0.44059	-0.074848
GPALPP1	-0.3312	-1.2208	0.90607	2.361	-0.3631	-0.14124	-0.87	0.063448	-0.27376	-0.1304
KPNA3	-0.16135	-0.78469	0.23444	2.6361	-0.48686	0.17849	-0.51812	-0.84954	-0.30392	0.055496
STK4	-0.33519	-0.90238	0.64805	2.2541	-1.1538	0.54657	-0.50684	-0.64821	-0.31208	0.4097
SQSTM1	0.21762	-0.68334	0.85064	2.2344	-0.70673	0.56618	-0.58339	-0.53116	-1.1274	-0.23685
FOPNL	-0.054647	-0.053913	0.64799	2.2856	-0.38069	-0.19462	-1.7501	-0.079372	-0.28064	-0.13964
RAB33B	0.10065	-0.61088	0.56165	2.1523	-0.62195	-0.28198	-1.5988	0.34124	-0.53547	0.49326
MEGF6	0.043923	-0.45042	0.70222	2.1807	0.2525	0.1846	-1.4588	0.15558	-0.80516	-0.8051
ODF2	-0.2832	-0.46364	0.14985	2.3156	-0.44753	0.082865	-0.35043	0.37367	-1.6639	0.28664
CCDC102A	0.15825	-0.6795	1.3367	1.6975	-0.0045884	0.7291	-1.0954	-0.44992	-1.3358	-0.35628
SLAIN2	-0.08228	-0.87636	1.1447	1.4271	0.40573	1.2025	-0.78738	-1.0846	-1.2043	-0.14509
CCNB1	0.25489	-0.34617	0.48373	2.1539	0.10455	0.28608	-0.83366	-1.1145	-1.338	0.34916
PLEKHA2	0.10498	-0.92401	1.1004	1.7281	-0.2132	0.64072	-1.0398	-1.1607	-0.83441	0.59795
ACAD11	-0.82893	0.96533	0.74061	1.9388	-0.30255	-0.7982	-0.50657	0.62371	-1.0183	-0.81393
TMEM194A	-1.1836	0.53962	1.0282	1.3699	-0.68354	-0.025582	0.10918	1.1029	-1.3845	-0.87244
CCAR2	-0.4007	0.46562	-0.10773	1.3826	0.9844	-0.0091487	0.21156	0.57564	-2.0719	-1.0303
TMEM66	-0.97957	0.58467	-0.0729	1.7585	1.043	-0.41159	-0.13339	0.61971	-1.3479	-1.0605
GPC6	-1.3776	0.78998	-0.62962	2.1445	0.38301	0.17594	-0.37275	0.33576	-0.76565	-0.6836
SCAMP1	-1.3277	0.92884	-0.40435	1.7775	0.66876	0.069128	-0.6756	0.47081	-1.3803	-0.12702
RABAC1	-1.3016	0.83864	-1.0929	1.7591	0.1558	-0.18202	-0.21925	1.2006	-0.36032	-0.7981
SLC25A46	-1.4731	1.5149	-1.1739	1.3689	0.38974	0.27748	-0.050983	0.44374	-0.73179	-0.56506
LYRM2	-1.9196	1.1393	-0.034739	1.5517	-0.63263	-0.50524	-0.27302	0.62778	-0.46811	0.51449
REEP4	-2.0208	1.0975	-0.48455	1.2064	0.41697	0.052225	-0.21579	0.29499	-1.0821	0.73516
B3GALT6	-0.49922	0.67392	0.099833	1.7467	-0.024831	0.11385	-1.7459	0.68527	0.23459	-1.2842
MGAT2	-0.5641	0.1323	0.67294	1.4094	-0.30118	0.88993	-2.0964	0.52517	0.13955	-0.80757
TMEM167A	-0.9956	0.57299	1.0304	1.3615	-0.24418	0.58645	-1.7751	0.10128	0.38708	-1.0249
GANAB	-0.86907	-0.034453	0.63137	1.3242	0.999	0.32983	-1.9649	0.43134	0.1143	-0.96161
LRPAP1	-0.78396	0.5376	0.90404	1.2272	0.57038	0.43458	-2.0595	0.38291	-0.34729	-0.86598
SIL1	-0.37495	0.94779	0.38628	1.8996	0.097524	0.27596	-1.6178	0.0858	-0.69527	-1.0049
UNC13C	-0.64829	0.0999	0.49882	1.8398	0.25719	0.48513	-1.7694	0.67755	-0.66141	-0.77924
WDR19	-0.69673	0.30593	0.65197	1.7721	0.70825	0.5005	-1.6237	0.063773	-0.68618	-0.99593
BASP1	-1.3737	0.60351	0.65005	1.3189	0.39325	0.59786	-1.0794	0.83437	-0.57128	-1.3737
IER3IP1	-1.1422	0.57552	1.1208	1.2756	-0.37555	0.90728	-1.0563	0.28798	-0.072502	-1.5207
DNAJC15	-0.75677	0.65651	1.2269	0.85499	0.13797	-0.038056	-1.1142	0.72613	0.27946	-1.973
C16orf62	-1.1282	0.13505	0.042223	1.1423	0.42979	0.66701	-2.1489	0.85601	-0.45708	0.46177
ZDHHC20	-1.1526	0.57931	0.37835	1.4303	-0.097768	0.53299	-1.9316	0.93624	-0.43177	-0.24344
SLC9A6	-0.1941	-0.34306	0.063473	1.4971	0.04668	0.63197	-1.9876	1.2405	-0.83273	-0.12221
TOR1A	-1.1623	0.16562	-0.47644	1.7522	-0.28666	0.055456	-1.3049	1.2489	-0.69474	0.70282
IFT140	-0.99819	-0.23268	-0.19615	2.1505	-0.2121	0.38013	-1.0751	1.1463	-0.76737	-0.19538
N6AMT2	-0.53816	-0.25198	0.073751	2.0713	-0.65034	0.61987	-0.98409	1.184	-0.83918	-0.6852
OSTM1	-0.88923	0.13925	-0.095722	1.826	0.23083	0.70402	-1.3326	1.0725	-0.79554	-0.85948
PALM	-0.36765	0.059429	-0.20804	2.4587	-0.50626	-0.29748	-0.79785	0.92819	-0.88438	-0.38463
CYP20A1	-1.545	0.89904	0.4283	1.0077	-0.42278	0.47556	-0.98462	1.2832	-1.2539	0.11259
MSRA	-0.35877	0.29867	0.36091	1.3108	-0.41202	0.73963	-1.3082	0.95248	-1.8745	0.29089
ACVR1	-0.48912	0.038171	-0.097617	1.4351	1.1061	0.91396	-1.8506	-0.29724	0.26492	-1.0237
PHC2	-0.34079	0.79969	-0.044767	1.1183	0.88957	0.91862	-1.949	-0.47711	0.21806	-1.1326
ARHGEF28	-0.27535	-0.60205	-0.66683	1.261	0.43615	1.9467	-1.2568	-0.39859	0.37359	-0.81785
DST	0.046049	-0.12508	-0.52756	1.1757	0.87923	1.6933	-1.5826	-0.39282	-0.16948	-0.99674
TJAP1	-0.057712	-0.36561	-0.20669	1.1475	0.76058	1.7197	-1.7012	-0.62929	0.14325	-0.81053
TNFRSF21	0.39658	-0.69598	-0.70084	1.1965	0.71287	1.8217	-1.3541	-0.55155	-0.15711	-0.66803
SH3KBP1	0.1007	-0.025725	-0.099037	0.4615	1.0328	1.6855	-1.7123	-0.75567	0.40422	-1.092
CCDC170	0.42052	-0.75859	0.78026	0.97278	0.78451	1.0307	-1.959	-0.26119	0.042174	-1.0522
NXN	0.27277	-0.69645	0.15509	1.1434	0.9671	1.2876	-1.8532	-0.72613	0.17391	-0.7241
BOD1L1	-0.36875	-0.17052	0.069349	1.2901	0.94153	0.6054	-1.0668	1.0281	-0.45447	-1.8738
EPHA5	-0.061641	0.43376	-0.32999	1.6054	0.53807	0.65583	-1.0489	0.12277	0.14969	-2.0651
SPIRE1	-0.10595	0.25057	-0.03236	1.3307	0.35816	0.65624	-1.3561	0.35372	0.60907	-2.064
NRSN2	-0.36702	-0.31112	0.45031	1.1596	0.075861	1.5597	-1.2081	0.49584	-0.10402	-1.7511
PPAP2A	-0.46287	-0.27486	-0.044226	1.4267	0.53942	1.1764	-1.4973	0.66144	-0.0021475	-1.5226
TSPAN3	-0.32503	0.032212	-0.41768	1.1578	0.78124	1.2195	-1.5456	0.43998	0.27682	-1.6192
VAT1	-0.59872	0.03222	0.21694	1.4604	0.57689	1.0706	-1.482	0.11784	0.25145	-1.6456
TTL	-0.22791	-0.067559	-0.21075	1.4751	0.53325	1.5043	-1.4332	0.15433	-0.31336	-1.4142
GOLGB1	-0.25101	0.5326	-0.75997	1.1869	1.2806	0.93427	-0.98065	-0.21774	0.047773	-1.7728
PAG1	-0.49538	0.21249	-0.66737	1.3641	0.929	1.3672	-0.45747	-0.46493	0.013893	-1.8015
STX10	-0.17853	0.21067	-0.66051	1.5906	0.70406	0.97184	-0.61451	-0.47132	0.3885	-1.9408
MTDH	-0.32075	0.29833	0.060855	0.95889	0.70111	0.8017	-0.33432	-0.27898	0.6027	-2.4895
KDELR3	-0.2838	-0.47335	-0.7689	0.55799	1.9602	0.39169	-1.462	0.096205	0.89929	-0.91741
PRKCSH	-0.13808	-0.45135	0.083829	1.1894	1.0615	0.13286	-1.5585	0.48275	0.86906	-1.6715
TTYH3	0.23899	-0.10621	-0.23082	1.1386	1.0797	0.21745	-2.3069	0.20204	0.58317	-0.81601
TTYH3	0.46701	-0.26881	-0.36097	1.3039	0.99213	0.16646	-1.8323	0.12914	0.77765	-1.3742
AFAP1	-1.0662	0.10502	0.53053	0.66871	1.2283	1.6622	-0.94434	-0.83294	-1.0959	-0.25552
CYR61	-0.60429	-0.34741	0.57682	0.073222	1.4543	1.8193	-0.62253	-1.2345	-0.88768	-0.22721
SGK223	-1.2511	-0.7176	0.35297	0.58384	1.1802	1.8203	-0.70538	-0.0848	-1.1131	-0.065193
AGTPBP1	-1.2739	-0.39409	0.28922	1.3761	0.86765	1.5003	-0.03852	-1.3126	-0.47488	-0.5393
PXK	-1.4531	-0.32602	0.43012	0.66535	1.2784	1.6886	-0.64663	-0.7692	-0.057812	-0.80971
AP1S2	-0.72003	-0.42389	-0.086317	1.3603	1.1507	1.5301	-1.2456	-0.51386	-0.07259	-0.97878
DST	-0.50337	0.065912	-0.52956	1.2092	1.1764	1.6492	-1.3712	-0.62307	-0.37716	-0.69641
USO1	-0.89875	-0.085429	-0.1971	1.2038	1.09	1.6864	-0.61704	-0.91194	-0.066471	-1.2034
AXL	-0.47866	-0.010731	-0.4005	0.76842	1.6473	1.6588	-0.88724	-0.71015	-0.7508	-0.8364
EDIL3	-0.60923	-0.37196	-0.5919	0.96408	1.6983	1.5703	-0.92127	-0.63447	-0.55843	-0.54542
GSTM1	-0.60582	-0.64231	-0.39923	0.90341	1.8818	1.3746	-0.99484	-0.34161	-0.49866	-0.67742
CDH11	-1.0957	-0.30041	-0.29049	1.1107	1.5198	1.5314	-0.93056	-0.73622	-0.37655	-0.43191
MOB3A	-0.9094	-0.41133	-0.37849	0.69517	1.2383	2.084	-0.47842	-0.31752	-0.68259	-0.83973
RBPJ	-0.044274	-0.21587	-0.23442	0.44282	1.0693	2.2199	-0.8639	-0.73873	-0.80045	-0.83438
AMPH	-0.47716	-0.36111	0.14883	0.75625	1.3811	1.3474	-1.3279	-1.3732	-0.62654	0.53229
ITSN1	-0.70071	-0.27424	-0.090842	1.4713	1.3541	0.98591	-0.9805	-1.3416	-0.76132	0.33795
ITSN1	-0.31853	-0.11315	-0.29191	1.2744	1.17	1.1231	-1.2305	-1.2152	-1.0581	0.65989
NR3C1	-0.73348	-0.10609	-0.17464	1.5155	1.4135	0.9164	-1.2548	-1.2904	-0.091999	-0.19404
CFL2	-0.645	-0.80887	0.7886	1.4848	1.0905	1.0065	-0.98784	-1.2375	-0.62393	-0.06713
FMNL3	-0.42851	-0.50458	0.37965	1.4189	1.3474	1.1679	-1.2223	-0.88651	-0.89674	-0.3752
ARHGEF10	-0.33064	-0.67958	-0.05305	1.999	1.1901	0.63553	-1.3285	-0.20998	-0.77426	-0.44857
CAMK4	-0.70678	-0.52934	-0.37218	2.341	1.1126	0.36061	-0.63474	-0.4548	-0.54016	-0.5762
LOXL2	-0.69761	-0.44961	-0.32352	2.108	1.0533	0.90778	-0.88299	-0.38314	-0.75364	-0.57859
GEM	-0.73366	-0.48293	-0.02663	1.8823	1.681	0.25658	-0.87463	-0.44095	-0.49214	-0.76899
LOXL2	-1.1368	-0.13145	-0.25393	1.9205	1.4305	0.53299	-0.91359	-0.68182	-0.46606	-0.3004
SACS	-0.841	-0.30266	-0.24685	2.0091	1.5737	0.25801	-0.67556	-0.78214	-0.50166	-0.49089
DES	-1.3063	0.16885	-0.2497	1.2073	1.8472	0.7467	-1.0373	-0.24858	-0.53532	-0.59279
DPYSL2	-1.2447	-0.23242	-0.43183	1.7159	1.5849	0.58402	-0.99291	-0.1187	-0.29187	-0.57242
LOX	-0.41052	-0.027175	-0.53044	1.8299	1.6119	0.45382	-0.6916	-0.9833	-0.33726	-0.91532
NEFM	-0.44967	0.33356	-0.23582	1.3606	1.7352	0.62957	-0.50523	-0.96201	-0.51993	-1.3862
SYDE1	-0.91838	0.22988	-0.63901	1.9177	1.0197	1.0213	-0.28725	-0.71896	-0.90036	-0.72456
ZEB1	-0.69459	-0.2244	-0.56807	1.521	1.536	1.2149	-0.62161	-0.54622	-0.76534	-0.85165
ITIH3	-0.33771	-0.53024	-0.072333	1.4261	2.0057	0.4794	-0.90904	-0.47384	-0.81683	-0.77126
TMEM55A	-0.10345	-0.39248	-0.28847	1.4861	1.6914	0.52992	-1.2179	-0.30848	-0.04701	-1.3496
BTN2A1	-0.62707	0.72863	0.57542	0.91265	1.0023	1.2773	-1.2439	-0.74007	-0.49337	-1.3919
LIX1L	-0.75448	0.57323	0.56818	1.1702	0.96274	1.1859	-1.4209	-1.0551	-0.30781	-0.92194
EMP3	-0.92116	0.97637	0.29062	1.1138	1.0697	1.1554	-0.92116	-0.92116	-0.92116	-0.92116
C19orf10	-0.37148	0.50266	0.46344	0.8695	1.5224	0.83522	-1.8074	-0.64732	-0.64339	-0.72367
LEPRE1	-0.6538	0.44183	0.10647	1.0958	1.5496	1.0639	-1.4134	-0.77693	-0.83302	-0.58049
CRTAP	-0.055069	0.24802	0.13141	1.1444	1.5858	0.79083	-1.6391	-1.0609	-0.56292	-0.58245
CNTNAP1	-0.36153	0.31262	0.39679	1.0255	1.6986	0.86059	-1.0987	-0.99128	-0.76392	-1.0786
MRC2	-0.71906	0.83154	0.70518	0.66197	1.8078	0.18548	-1.297	-0.46858	-0.54214	-1.1652
NEGR1	-0.79634	0.70119	-0.097759	1.0358	2.0513	0.25693	-0.91893	-0.70953	-0.68691	-0.83569
VIM	-1.0791	0.59347	0.17355	1.1026	1.7268	0.71474	-0.96311	-0.73227	-0.54426	-0.99234
GLIPR1	-0.68837	0.77917	0.30125	1.51	1.1221	0.67046	-1.0296	-1.0552	-0.37467	-1.2352
MDFIC	-0.96129	0.89485	-0.14023	1.446	1.285	0.57815	-0.60838	-1.0511	-0.14581	-1.2972
INA	-0.76512	0.32709	0.26116	2.0666	1.0034	0.31264	-1.0315	-0.7849	-0.36404	-1.0253
KIAA0754	-0.2746	-0.23082	0.1034	1.4301	1.2504	1.1029	-0.97894	-0.24655	-0.48968	-1.6663
LRP12	-0.75206	-0.09455	0.084669	1.6677	1.2368	1.1027	-1.0555	-0.40223	-0.79871	-0.98878
SGCE	-0.93033	-0.28967	0.42271	1.6569	1.237	0.94752	-0.55153	-0.58715	-0.61063	-1.2949
MIB1	-0.40426	0.16669	0.34491	1.7014	0.79395	1.0428	-1.4708	-0.64719	-0.35853	-1.1691
ANO10	-0.60312	0.40295	-1.4448	0.42274	1.558	1.1391	-1.2873	0.66323	-0.5345	-0.31623
TGFB1	-0.57747	-0.16308	-0.65901	0.54348	2.0904	0.90836	-1.5021	0.23553	-0.33798	-0.5381
B3GNT1	0.21439	-0.26796	-0.88672	1.0733	1.7017	0.78581	-0.9413	0.47329	-1.0303	-1.1222
QPCTL	0.035537	0.10288	-0.88368	1.155	1.2914	1.4102	-1.4286	-0.20475	-0.88401	-0.59395
BACE1	-0.64397	0.020224	-0.03678	1.1812	1.0743	1.3165	-1.2228	0.54919	-1.1053	-1.1325
CCPG1	0.072446	0.078562	-0.090509	0.94599	0.58983	1.7389	-1.5553	0.31549	-1.0577	-1.0376
DNMBP	0.30206	-0.5476	-0.56284	1.2937	0.5979	1.4776	-1.3605	0.66688	-0.79391	-1.0733
DCAF15	-0.14419	-0.1495	0.38118	0.70913	1.8016	0.90127	-1.3353	0.051248	-1.0329	-1.1826
SGTB	-0.31294	0.10891	1.0254	0.60766	1.6443	0.63235	-1.5183	-0.28536	-0.65906	-1.243
HSPA13	-0.53157	0.62325	0.50382	0.64151	1.2854	0.89938	-1.1544	0.19414	-0.59727	-1.8643
PPP1R12A	-0.70548	0.45323	0.64313	0.064255	1.6316	0.46263	-0.99047	0.93424	-1.103	-1.3901
PTTG1IP	-1.1492	0.35761	0.37412	0.7046	1.1771	1.4529	-1.5713	0.031234	-0.67287	-0.70416
AK6	-0.85427	-1.3199	-0.073268	1.9625	0.65024	0.9781	0.072187	-0.15173	-0.14993	-1.1139
MEX3D	-0.78103	-0.65844	-0.46375	2.0394	0.94654	0.88444	-0.17471	-0.14321	-0.32823	-1.321
CCDC25	-0.86294	-1.0872	0.058242	2.2362	0.73843	0.32165	0.089759	0.16939	-0.84782	-0.81569
PPP2R2A	-0.71674	-0.96769	-0.10675	2.0167	1.0096	0.39887	-0.52656	0.66583	-0.89158	-0.88171
FGFR1	-0.41121	-0.7745	-0.04712	2.5497	0.56572	0.17087	-0.49222	-0.057516	-0.71647	-0.78724
L3HYPDH	-0.25547	-0.57293	0.085403	2.3366	0.73718	0.05566	-0.59575	0.27173	-0.89422	-1.1682
ELK1	-0.86297	-0.63533	-0.7193	1.6518	0.82222	1.5988	-0.19926	-0.052203	-0.65133	-0.95239
WDR6	-0.83196	-0.49982	-0.53887	1.9881	0.65397	1.4604	-0.63247	-0.55584	-0.49791	-0.54561
TOR1B	-1.3511	-0.51943	-0.72989	1.7036	0.93388	1.3285	-0.8139	-0.21916	0.016302	-0.34885
EPG5	-1.0829	-0.72784	0.0031167	1.9325	0.29316	1.461	-0.74767	-0.10853	-0.15884	-0.86395
GFPT2	-0.74428	-0.35713	0.13206	2.0563	0.51145	1.2443	-0.97075	-0.52652	-0.40997	-0.93546
KBTBD6	-0.8814	-1.1457	-0.019514	2.0321	0.94083	0.61228	-1.0973	0.18215	-0.10084	-0.52265
MAP1LC3B2	-0.95829	-0.75091	-0.4436	1.9462	0.9703	0.97499	-1.2387	-0.043968	-0.20669	-0.24935
RRAGA	-1.0847	-0.47541	-0.66975	2.0276	0.70632	0.92939	-1.0209	0.21892	0.12344	-0.75495
RRAGC	-0.66193	-0.47218	-0.60565	2.1438	0.74131	0.93242	-1.0301	0.027934	-0.1397	-0.93588
SDCBP	-1.2304	-0.40523	-0.15836	2.2354	0.68127	0.45586	-0.93387	-0.21665	0.34155	-0.76954
ANK1	0.36514	-0.88024	-0.34501	1.8126	1.2177	0.82012	-1.0329	-0.30703	-0.75778	-0.89258
CACNA2D1	0.29579	-0.65907	-0.66851	1.7405	1.5114	0.69235	-0.73197	-0.44702	-0.85765	-0.87583
MID1IP1	0.53464	-0.41161	-0.76934	1.994	0.67695	0.84849	-0.81303	-0.0058306	-0.90973	-1.1445
FLCN	-0.032299	-0.79739	-0.45181	2.3621	0.19287	0.75033	-1.0241	0.25649	-0.82285	-0.4333
SAT2	-0.12112	-1.0525	-0.71353	2.1469	0.70383	0.85246	-0.39858	0.039897	-1.1254	-0.33194
ATAT1	-0.1662	-1.4039	-0.36602	1.9179	0.96759	0.88961	0.01615	-0.55534	-1.0424	-0.25735
KIAA1430	-0.43747	-0.98088	-0.54259	2.1612	0.52778	1.0163	0.30666	-0.77268	-0.81527	-0.46297
KTI12	0.24985	-1.5304	-0.47909	1.8677	0.50123	1.0245	0.39038	-0.55033	-0.87015	-0.60373
TNPO1	0.31341	-1.6241	0.081566	1.6465	0.66402	1.1236	0.061511	-0.47084	-0.95023	-0.84538
LRRC14	-0.19616	-0.49768	-1.1361	2.2277	0.80689	0.58994	0.18453	-0.56767	-0.93895	-0.47257
ERI1	0.070853	-1.0739	0.37653	2.3208	0.24848	0.44004	0.018417	-0.78914	-1.0666	-0.54551
IKBKB	-0.27785	-0.55207	0.01294	2.3374	0.39996	0.5073	-0.38356	-0.4904	-1.5327	-0.021045
ATG9A	-0.85331	-0.10153	0.49968	2.3533	0.51527	-0.53891	-1.0126	0.27764	-0.28167	-0.85791
FAM46A	-1.2954	-0.50145	0.44936	2.3166	0.61572	-0.25611	-0.77052	0.25009	-0.21147	-0.59682
KIF5C	-1.04	-0.49645	0.16045	2.2354	0.59475	-0.28973	-0.74683	0.62532	-1.1211	0.078206
MTMR9	-1.2838	-0.32966	0.83008	1.9709	0.80908	-0.22259	-0.6336	0.40565	-1.0926	-0.45354
MOSPD1	-1.0696	-0.43334	0.13793	1.925	0.5839	0.69318	-1.4555	-0.38025	-0.65598	0.65467
SERINC1	-1.0378	-0.18181	0.045878	2.0455	0.42806	0.83292	-1.142	0.29755	-1.1938	-0.094447
ZNF706	-0.95319	-0.20232	0.26332	1.7289	1.0489	0.631	-1.7413	0.14503	-0.55257	-0.36772
BNIP3L	-0.98669	-0.35209	-0.9526	1.7582	1.5347	0.4873	-0.45623	0.066933	-1.0466	-0.052996
PPP2CB	-1.4524	-0.41287	-0.42053	1.8729	1.356	0.1327	-0.46033	-0.17978	-0.86598	0.43029
WDR35	-1.4285	-0.39347	-0.31544	2.1527	0.95195	0.31877	-0.73227	0.11052	-0.71543	0.05118
